0,1,2,3
"{'prompt': 'a photo of a blue clock and a white cup', 'seed': 42, 'num_particles': 2, 'net_seed': 42000, 'image_reward': array([ 1.89786327, -2.0754385 ]), 'hps': array([0.27075195, 0.2487793 ]), 'potential_type': 'max'}","{'prompt': 'a photo of a blue clock and a white cup', 'seed': 42, 'num_particles': 2, 'net_seed': 42001, 'image_reward': array([ 1.78871453, -0.12270748]), 'hps': array([0.29516602, 0.31689453]), 'potential_type': 'instant'}","{'prompt': 'a photo of a blue clock and a white cup', 'seed': 42, 'num_particles': 2, 'net_seed': 42002, 'image_reward': array([-1.3348918 , -2.10693884]), 'hps': array([0.23974609, 0.22558594]), 'potential_type': 'add'}","{'prompt': 'a photo of a blue clock and a white cup', 'seed': 42, 'num_particles': 2, 'net_seed': 42003, 'image_reward': array([-1.04630768, -1.686409  ]), 'hps': array([0.2364502 , 0.24951172]), 'potential_type': 'base'}"
"{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 42, 'num_particles': 2, 'net_seed': 42010, 'image_reward': array([-0.82799739, -1.33758318]), 'hps': array([0.25244141, 0.25463867]), 'potential_type': 'max'}","{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 42, 'num_particles': 2, 'net_seed': 42011, 'image_reward': array([-0.580396  , -1.15892458]), 'hps': array([0.26757812, 0.26416016]), 'potential_type': 'instant'}","{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 42, 'num_particles': 2, 'net_seed': 42012, 'image_reward': array([-0.5580259 , -1.42058778]), 'hps': array([0.24572754, 0.25292969]), 'potential_type': 'add'}","{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 42, 'num_particles': 2, 'net_seed': 42013, 'image_reward': array([-0.32014823, -0.37701085]), 'hps': array([0.28710938, 0.24853516]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 42, 'num_particles': 2, 'net_seed': 42020, 'image_reward': array([-0.98314995, -1.25621235]), 'hps': array([0.27075195, 0.26806641]), 'potential_type': 'max'}","{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 42, 'num_particles': 2, 'net_seed': 42021, 'image_reward': array([ 1.84614646, -1.37707722]), 'hps': array([0.33300781, 0.26879883]), 'potential_type': 'instant'}","{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 42, 'num_particles': 2, 'net_seed': 42022, 'image_reward': array([-0.76918155, -1.05202043]), 'hps': array([0.26586914, 0.27807617]), 'potential_type': 'add'}","{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 42, 'num_particles': 2, 'net_seed': 42023, 'image_reward': array([-1.01098537, -1.25112557]), 'hps': array([0.25073242, 0.28955078]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 42, 'num_particles': 2, 'net_seed': 42030, 'image_reward': array([ 0.41730103, -0.05758172]), 'hps': array([0.31420898, 0.27270508]), 'potential_type': 'max'}","{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 42, 'num_particles': 2, 'net_seed': 42031, 'image_reward': array([-0.31285307, -1.87493622]), 'hps': array([0.28320312, 0.21264648]), 'potential_type': 'instant'}","{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 42, 'num_particles': 2, 'net_seed': 42032, 'image_reward': array([ 0.50213182, -2.18875933]), 'hps': array([0.30664062, 0.21582031]), 'potential_type': 'add'}","{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 42, 'num_particles': 2, 'net_seed': 42033, 'image_reward': array([ 0.83983558, -1.90222454]), 'hps': array([0.31665039, 0.23254395]), 'potential_type': 'base'}"
"{'prompt': 'a green stop sign in a red field', 'seed': 42, 'num_particles': 2, 'net_seed': 42040, 'image_reward': array([ 1.86200798, -0.25035742]), 'hps': array([0.30273438, 0.27685547]), 'potential_type': 'max'}","{'prompt': 'a green stop sign in a red field', 'seed': 42, 'num_particles': 2, 'net_seed': 42041, 'image_reward': array([ 1.91821146, -1.33393848]), 'hps': array([0.31542969, 0.24414062]), 'potential_type': 'instant'}","{'prompt': 'a green stop sign in a red field', 'seed': 42, 'num_particles': 2, 'net_seed': 42042, 'image_reward': array([ 1.91717505, -0.40224075]), 'hps': array([0.30200195, 0.29882812]), 'potential_type': 'add'}","{'prompt': 'a green stop sign in a red field', 'seed': 42, 'num_particles': 2, 'net_seed': 42043, 'image_reward': array([1.92450058, 1.91744184]), 'hps': array([0.31884766, 0.33300781]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a blue clock and a white cup', 'seed': 43, 'num_particles': 2, 'net_seed': 43000, 'image_reward': array([-1.18097913, -1.33727992]), 'hps': array([0.23364258, 0.26904297]), 'potential_type': 'max'}","{'prompt': 'a photo of a blue clock and a white cup', 'seed': 43, 'num_particles': 2, 'net_seed': 43001, 'image_reward': array([1.88137281, 1.60165787]), 'hps': array([0.31298828, 0.33813477]), 'potential_type': 'instant'}","{'prompt': 'a photo of a blue clock and a white cup', 'seed': 43, 'num_particles': 2, 'net_seed': 43002, 'image_reward': array([-1.3620435 , -1.86755395]), 'hps': array([0.23669434, 0.19018555]), 'potential_type': 'add'}","{'prompt': 'a photo of a blue clock and a white cup', 'seed': 43, 'num_particles': 2, 'net_seed': 43003, 'image_reward': array([1.8690834 , 0.66117918]), 'hps': array([0.31469727, 0.28417969]), 'potential_type': 'base'}"
"{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 43, 'num_particles': 2, 'net_seed': 43010, 'image_reward': array([ 1.47814035, -1.31145513]), 'hps': array([0.32543945, 0.24975586]), 'potential_type': 'max'}","{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 43, 'num_particles': 2, 'net_seed': 43011, 'image_reward': array([-0.36937168, -1.07340133]), 'hps': array([0.28027344, 0.22546387]), 'potential_type': 'instant'}","{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 43, 'num_particles': 2, 'net_seed': 43012, 'image_reward': array([-0.43785924, -0.70530808]), 'hps': array([0.26196289, 0.25610352]), 'potential_type': 'add'}","{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 43, 'num_particles': 2, 'net_seed': 43013, 'image_reward': array([ 1.92483377, -0.31013307]), 'hps': array([0.34033203, 0.30078125]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 43, 'num_particles': 2, 'net_seed': 43020, 'image_reward': array([1.81428683, 1.72550154]), 'hps': array([0.35791016, 0.32910156]), 'potential_type': 'max'}","{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 43, 'num_particles': 2, 'net_seed': 43021, 'image_reward': array([ 1.85559332, -0.97319227]), 'hps': array([0.34985352, 0.27514648]), 'potential_type': 'instant'}","{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 43, 'num_particles': 2, 'net_seed': 43022, 'image_reward': array([1.76826894, 1.50776458]), 'hps': array([0.3659668 , 0.32568359]), 'potential_type': 'add'}","{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 43, 'num_particles': 2, 'net_seed': 43023, 'image_reward': array([1.93296921, 1.87967241]), 'hps': array([0.35546875, 0.29101562]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 43, 'num_particles': 2, 'net_seed': 43030, 'image_reward': array([ 0.33449826, -0.0635457 ]), 'hps': array([0.30151367, 0.29541016]), 'potential_type': 'max'}","{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 43, 'num_particles': 2, 'net_seed': 43031, 'image_reward': array([-1.27897167, -1.63734102]), 'hps': array([0.28564453, 0.20983887]), 'potential_type': 'instant'}","{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 43, 'num_particles': 2, 'net_seed': 43032, 'image_reward': array([-1.70492804, -2.1412344 ]), 'hps': array([0.2487793 , 0.21374512]), 'potential_type': 'add'}","{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 43, 'num_particles': 2, 'net_seed': 43033, 'image_reward': array([ 0.88244039, -1.82972658]), 'hps': array([0.31542969, 0.24633789]), 'potential_type': 'base'}"
"{'prompt': 'a green stop sign in a red field', 'seed': 43, 'num_particles': 2, 'net_seed': 43040, 'image_reward': array([-0.75588053, -1.11096191]), 'hps': array([0.27099609, 0.28564453]), 'potential_type': 'max'}","{'prompt': 'a green stop sign in a red field', 'seed': 43, 'num_particles': 2, 'net_seed': 43041, 'image_reward': array([ 1.86290336, -1.9541086 ]), 'hps': array([0.26513672, 0.26831055]), 'potential_type': 'instant'}","{'prompt': 'a green stop sign in a red field', 'seed': 43, 'num_particles': 2, 'net_seed': 43042, 'image_reward': array([ 1.57155395, -0.06518722]), 'hps': array([0.29052734, 0.28100586]), 'potential_type': 'add'}","{'prompt': 'a green stop sign in a red field', 'seed': 43, 'num_particles': 2, 'net_seed': 43043, 'image_reward': array([-1.3689996 , -1.41659915]), 'hps': array([0.28149414, 0.27514648]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a blue clock and a white cup', 'seed': 44, 'num_particles': 2, 'net_seed': 44000, 'image_reward': array([-1.78123736, -2.19895315]), 'hps': array([0.22827148, 0.2668457 ]), 'potential_type': 'max'}","{'prompt': 'a photo of a blue clock and a white cup', 'seed': 44, 'num_particles': 2, 'net_seed': 44001, 'image_reward': array([-1.51553881, -1.65818548]), 'hps': array([0.24084473, 0.21228027]), 'potential_type': 'instant'}","{'prompt': 'a photo of a blue clock and a white cup', 'seed': 44, 'num_particles': 2, 'net_seed': 44002, 'image_reward': array([1.74510777, 1.70221412]), 'hps': array([0.29418945, 0.30883789]), 'potential_type': 'add'}","{'prompt': 'a photo of a blue clock and a white cup', 'seed': 44, 'num_particles': 2, 'net_seed': 44003, 'image_reward': array([-1.43601871, -2.12735176]), 'hps': array([0.25854492, 0.21765137]), 'potential_type': 'base'}"
"{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 44, 'num_particles': 2, 'net_seed': 44010, 'image_reward': array([ 0.92006099, -0.98448253]), 'hps': array([0.28417969, 0.27490234]), 'potential_type': 'max'}","{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 44, 'num_particles': 2, 'net_seed': 44011, 'image_reward': array([-0.05239289, -0.9073596 ]), 'hps': array([0.27758789, 0.26879883]), 'potential_type': 'instant'}","{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 44, 'num_particles': 2, 'net_seed': 44012, 'image_reward': array([-0.47689131, -0.71517086]), 'hps': array([0.25415039, 0.26220703]), 'potential_type': 'add'}","{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 44, 'num_particles': 2, 'net_seed': 44013, 'image_reward': array([ 1.37807798, -0.13303189]), 'hps': array([0.31103516, 0.2578125 ]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 44, 'num_particles': 2, 'net_seed': 44020, 'image_reward': array([ 1.90436566, -1.05861604]), 'hps': array([0.33789062, 0.28295898]), 'potential_type': 'max'}","{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 44, 'num_particles': 2, 'net_seed': 44021, 'image_reward': array([1.84993315, 1.84316552]), 'hps': array([0.31933594, 0.31005859]), 'potential_type': 'instant'}","{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 44, 'num_particles': 2, 'net_seed': 44022, 'image_reward': array([1.87812102, 1.62799096]), 'hps': array([0.34643555, 0.3515625 ]), 'potential_type': 'add'}","{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 44, 'num_particles': 2, 'net_seed': 44023, 'image_reward': array([ 1.83418512, -1.02105069]), 'hps': array([0.30737305, 0.28442383]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 44, 'num_particles': 2, 'net_seed': 44030, 'image_reward': array([-1.63697827, -1.67137635]), 'hps': array([0.21630859, 0.18640137]), 'potential_type': 'max'}","{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 44, 'num_particles': 2, 'net_seed': 44031, 'image_reward': array([ 0.29959872, -1.62034643]), 'hps': array([0.28198242, 0.23828125]), 'potential_type': 'instant'}","{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 44, 'num_particles': 2, 'net_seed': 44032, 'image_reward': array([1.514606  , 0.86475718]), 'hps': array([0.30078125, 0.32861328]), 'potential_type': 'add'}","{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 44, 'num_particles': 2, 'net_seed': 44033, 'image_reward': array([ 0.76849747, -1.90445185]), 'hps': array([0.32324219, 0.22668457]), 'potential_type': 'base'}"
"{'prompt': 'a green stop sign in a red field', 'seed': 44, 'num_particles': 2, 'net_seed': 44040, 'image_reward': array([ 1.96449792, -0.64382166]), 'hps': array([0.32080078, 0.26782227]), 'potential_type': 'max'}","{'prompt': 'a green stop sign in a red field', 'seed': 44, 'num_particles': 2, 'net_seed': 44041, 'image_reward': array([1.86363113, 1.80709875]), 'hps': array([0.29541016, 0.30273438]), 'potential_type': 'instant'}","{'prompt': 'a green stop sign in a red field', 'seed': 44, 'num_particles': 2, 'net_seed': 44042, 'image_reward': array([-0.55878609, -1.4358362 ]), 'hps': array([0.28613281, 0.24682617]), 'potential_type': 'add'}","{'prompt': 'a green stop sign in a red field', 'seed': 44, 'num_particles': 2, 'net_seed': 44043, 'image_reward': array([ 1.90397525, -0.01692357]), 'hps': array([0.30761719, 0.27709961]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a blue clock and a white cup', 'seed': 45, 'num_particles': 2, 'net_seed': 45000, 'image_reward': array([1.02929044, 0.51056904]), 'hps': array([0.29638672, 0.30761719]), 'potential_type': 'max'}","{'prompt': 'a photo of a blue clock and a white cup', 'seed': 45, 'num_particles': 2, 'net_seed': 45001, 'image_reward': array([0.56608135, 0.43638647]), 'hps': array([0.33056641, 0.30932617]), 'potential_type': 'instant'}","{'prompt': 'a photo of a blue clock and a white cup', 'seed': 45, 'num_particles': 2, 'net_seed': 45002, 'image_reward': array([-1.27439117, -1.98945498]), 'hps': array([0.26098633, 0.2644043 ]), 'potential_type': 'add'}","{'prompt': 'a photo of a blue clock and a white cup', 'seed': 45, 'num_particles': 2, 'net_seed': 45003, 'image_reward': array([ 0.95309877, -1.59077561]), 'hps': array([0.29907227, 0.23986816]), 'potential_type': 'base'}"
"{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 45, 'num_particles': 2, 'net_seed': 45010, 'image_reward': array([-0.58074021, -0.63144189]), 'hps': array([0.28125  , 0.2644043]), 'potential_type': 'max'}","{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 45, 'num_particles': 2, 'net_seed': 45011, 'image_reward': array([-0.56974143, -1.55899096]), 'hps': array([0.28686523, 0.25708008]), 'potential_type': 'instant'}","{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 45, 'num_particles': 2, 'net_seed': 45012, 'image_reward': array([-0.50201231, -0.85159528]), 'hps': array([0.28662109, 0.29858398]), 'potential_type': 'add'}","{'prompt': 'a photo of an orange cow and a purple sandwich', 'seed': 45, 'num_particles': 2, 'net_seed': 45013, 'image_reward': array([-0.18882114, -0.28830576]), 'hps': array([0.29858398, 0.26269531]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 45, 'num_particles': 2, 'net_seed': 45020, 'image_reward': array([ 1.72726083, -1.31430113]), 'hps': array([0.33300781, 0.25683594]), 'potential_type': 'max'}","{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 45, 'num_particles': 2, 'net_seed': 45021, 'image_reward': array([ 1.84930551, -1.0818001 ]), 'hps': array([0.34204102, 0.27661133]), 'potential_type': 'instant'}","{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 45, 'num_particles': 2, 'net_seed': 45022, 'image_reward': array([ 1.7989645 , -1.24526703]), 'hps': array([0.35888672, 0.3112793 ]), 'potential_type': 'add'}","{'prompt': 'a photo of a yellow bird and a black motorcycle', 'seed': 45, 'num_particles': 2, 'net_seed': 45023, 'image_reward': array([1.87931526, 1.85863173]), 'hps': array([0.33959961, 0.34570312]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 45, 'num_particles': 2, 'net_seed': 45030, 'image_reward': array([-1.83343434, -2.04969335]), 'hps': array([0.23083496, 0.22607422]), 'potential_type': 'max'}","{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 45, 'num_particles': 2, 'net_seed': 45031, 'image_reward': array([1.70737517, 0.71063584]), 'hps': array([0.32592773, 0.28710938]), 'potential_type': 'instant'}","{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 45, 'num_particles': 2, 'net_seed': 45032, 'image_reward': array([ 0.73981541, -1.78426492]), 'hps': array([0.27783203, 0.16699219]), 'potential_type': 'add'}","{'prompt': 'a photo of a green tennis racket and a black dog', 'seed': 45, 'num_particles': 2, 'net_seed': 45033, 'image_reward': array([-1.43358278, -1.81972432]), 'hps': array([0.23181152, 0.23791504]), 'potential_type': 'base'}"
